Currency,FX_Rate_to_USD,queried_at_utc
USD,1.0,2026-09-17T08:43:19.750149+00:00
EUR,1.1472,2026-09-17T08:43:19.750149+00:00
JPY,0.006418,2026-09-17T08:43:19.750149+00:00
HKD,0.12747,2026-09-17T08:43:19.750149+00:00
CNH,0.1491,2026-09-17T08:43:19.750149+00:00
CAD,0.715,2026-09-17T08:43:19.750149+00:00
GBP,1.3386,2026-09-17T08:43:19.750149+00:00
KRW,0.07216,2026-09-17T08:43:19.750149+00:00
MYR,0.244,2026-09-17T08:43:19.750149+00:00
SEK,0.101793,2026-09-17T08:43:19.750149+00:00
AUD,0.7111,2026-09-17T08:43:19.750149+00:00
