Currency,FX_Rate_to_USD,queried_at_utc
USD,1.0,2026-09-16T02:36:00.389352+00:00
HKD,0.12748,2026-09-16T02:36:00.389352+00:00
EUR,1.1542,2026-09-16T02:36:00.389352+00:00
JPY,0.006439,2026-09-16T02:36:00.389352+00:00
CNH,0.149,2026-09-16T02:36:00.389352+00:00
CAD,0.7178,2026-09-16T02:36:00.389352+00:00
GBP,1.3479,2026-09-16T02:36:00.389352+00:00
KRW,0.07316,2026-09-16T02:36:00.389352+00:00
MYR,0.2454,2026-09-16T02:36:00.389352+00:00
SEK,0.102292,2026-09-16T02:36:00.389352+00:00
AUD,0.7128,2026-09-16T02:36:00.389352+00:00
